s,caption_snippet,n_shared_codes,n_excluded_codes,spearman,kendall_tau,jaccard_top3,jaccard_top5,jaccard_top10
549582325951806142,The painting depicts the Adoration of the Magi within a ruin,49,0,0.5389296672185598,0.4089858096557963,0.0,0.25,0.42857142857142855
807312275040377445,"An illuminated manuscript page, likely from a calendar or ma",29,0,0.2012850105207019,0.12062738609082187,0.5,0.25,0.25
1118267406085512177,"A black and white woodcut print depicting a female figure, l",23,0,0.7721207072840234,0.6468304896780999,0.2,0.6666666666666666,0.5384615384615384
1166575505951316838,Castello d' Issogne,4,0,1.0,1.0,1.0,1.0,1.0
1327008530223471987,A close-up detail of the Saliera (salt cellar) by Benvenuto ,26,0,0.8189773053140743,0.6365682090025826,0.2,0.42857142857142855,0.6666666666666666
1514485864902356030,"A pencil drawing depicting an elderly woman looking down, fo",9,0,0.6166666666666666,0.5,1.0,0.6666666666666666,1.0
1882870660012256914,A young man with a hat,5,0,0.3,0.19999999999999998,0.5,1.0,1.0
2010281262701990553,"A portrait painting of a man looking downward, focused on a ",20,0,0.5425133213738663,0.4338685069223073,1.0,0.6666666666666666,0.5384615384615384
2153643581967031521,A dramatic and dark oil painting depicting a group of muscul,25,0,0.7455737390145701,0.5167901625147987,1.0,0.6666666666666666,0.8181818181818182
2298548777728943214,"Castello della Manta, Fountain of Youth (detail)",5,0,0.7,0.6,0.5,1.0,1.0
2567065649912625436,"A 19th-century Biedermeier genre painting by Peter Fendi, de",34,0,0.6906544646342027,0.49010553710921334,0.5,1.0,0.3333333333333333
2595221488691363098,An illuminated manuscript page featuring a central miniature,20,0,0.715845394198111,0.5252155683039627,0.5,0.42857142857142855,0.6666666666666666
2661581678202693695,AI generated: This mid-15th century tempera on panel paintin,43,0,0.5122878632824042,0.366122540261484,0.0,0.0,0.25
2745375853694545502,Nativity of Christ,5,0,0.4472135954999579,0.35856858280031806,0.5,1.0,1.0
3023261730983300170,This is the Triptych with the Lamentation of Christ (c. 1508,43,0,0.739519055752296,0.557821167604706,0.2,0.25,0.5384615384615384
3077323590318850904,"A tinted historical portrait of a man, likely a soldier from",27,0,0.5315806162803955,0.3339506178126834,0.0,0.25,0.6666666666666666
3282188582904507972,Head of a sheep,5,0,0.8207826816681234,0.7378647873726218,0.5,1.0,1.0
3493877306301385470,The central engraving shows an allegorical female figure sta,20,0,0.6094809851772979,0.47619714174399574,0.2,0.25,0.42857142857142855
3724311665533285676,"A large, magnificent historicist building, the New Town Hall",10,0,0.3200378765462651,0.20952908873087348,0.2,0.42857142857142855,1.0
3725994477982841674,"Eleven girls in identical blue dresses, all with extraordina",17,0,0.5301389106496959,0.35212167244400017,0.5,0.6666666666666666,0.5384615384615384
4188653426568909638,A religious mosaic depicting the biblical scene of the expul,21,0,0.6887590797715436,0.41148796376363717,0.0,0.25,0.8181818181818182
4422347457278833183,The Angel Gabriel on the left; the Virgin Mary on the right ,7,0,0.28571428571428575,0.14285714285714288,0.5,0.6666666666666666,1.0
4472391827809402718,A fresco painting depicting a group of angels playing musica,16,0,0.5209714434691554,0.42678197846541877,1.0,0.42857142857142855,0.42857142857142855
4880475274485731939,"Charley Toorop, Self-portrait with palette",5,0,0.09999999999999999,0.0,0.5,1.0,1.0
4883837107610868355,A painting depicting a rustic kitchen interior where a large,20,0,0.8043644113018906,0.5926008875036393,0.5,0.42857142857142855,1.0
4930181810054800955,Mary undergoing a trial by drinking bitter water in the Temp,17,0,0.5279321414225401,0.3940765522813289,0.5,0.6666666666666666,0.42857142857142855
4936931830175412817,A formal three-quarter length portrait of the young Emperor ,38,0,0.5734769560896403,0.4408918479969931,0.5,0.42857142857142855,0.42857142857142855
5019810802211067034,"A fresco painting depicting a group of men, identified by th",23,0,0.6816845048233959,0.5130765378197558,0.5,0.6666666666666666,0.8181818181818182
5304681097530850553,An emblem-style black and white engraving featuring a bearde,25,0,0.5445111378809474,0.41093754454085124,0.2,0.25,0.6666666666666666
5336301907526858390,A black and white woodcut illustration from an early modern ,32,0,0.6106683300238268,0.44585345481701283,0.2,0.25,0.3333333333333333
5399779144468053670,"This is Saint Veronica with the Sudarium, painted around 150",45,0,0.5323839657245122,0.36152968646130673,0.5,0.42857142857142855,0.17647058823529413
5627123947708536947,An oil painting depicting a young woman in a white Empire-st,19,0,0.562527478462231,0.4105589501287089,0.2,0.6666666666666666,0.5384615384615384
5627123947708536947,An oil painting depicting a young woman in a white [Empire-s,19,0,0.5206323341071464,0.37059464702167666,0.2,0.6666666666666666,0.6666666666666666
5687487318400760147,"The Scene\nAt the top centre, a radiant burst of divine ligh",32,0,0.567838102144172,0.43338540796476843,0.5,0.42857142857142855,0.42857142857142855
5986275570027429290,"George Rouault, Pierrot. Vienna, Albertina",28,0,0.6663019767527956,0.4578645580762859,0.0,0.1111111111111111,0.5384615384615384
5986275570027429290,An expressionist oil painting featuring a portrait of a pers,28,0,0.6496785319737066,0.5133983478526821,0.2,0.42857142857142855,0.42857142857142855
6237160294778345582,A polychrome relief sculpture depicting the 'Man of Sorrows',25,0,0.8377911728747681,0.6599748320202159,0.5,0.42857142857142855,0.6666666666666666
6499858835448332322,Virgin Mary(?) at the top with a blue mantle and golden halo,5,0,0.20519567041703085,0.10540925533894596,0.5,1.0,1.0
7050546559388106264,"Paul Klee, Der Narr.\nVienna, Albertina.\n\nClaude.ai: This ",32,0,0.620620330798072,0.43903890032902015,0.2,0.25,0.3333333333333333
7449848130354816786,A religious painting in the International Gothic style depic,23,0,0.68182960655748,0.4930505189422774,0.0,0.25,0.5384615384615384
7760779103334986581,"The Annuncation: Gabriel, holding a sceptre; Mary kneeling i",5,0,-0.7,-0.6,0.2,1.0,1.0
7803961469301265896,"The Expulsion: an angel raises a flaming sword, while Adam a",5,0,0.8944271909999159,0.8366600265340755,1.0,1.0,1.0
7833782173215755317,An allegorical engraving featuring a central male figure lab,23,0,0.22172793626235482,0.15357327754569736,0.5,0.42857142857142855,0.42857142857142855
7884211248633680629,A Northern Renaissance painting depicting the Adoration of t,31,0,0.7830124014140031,0.6024008562136075,0.5,0.42857142857142855,0.5384615384615384
7952534836315014396,"The Virgin is depicted in three-quarter view, her gaze cast ",25,0,0.6293518100646733,0.47078529712239536,0.0,0.25,0.42857142857142855
8220004642879617410,"A ceiling fresco depicting an allegory of Astrology, featuri",61,0,0.6713275231014298,0.49583351335006337,0.2,0.1111111111111111,0.25
8482447090892333388,An oil painting of a man wearing a wide-brimmed hat and brow,9,0,-0.08368274087557231,-0.08451542547285167,0.0,0.42857142857142855,1.0
8588488626067798400,"A Baroque-style oil painting depicting the Holy Family, feat",9,0,0.5333333333333333,0.3333333333333333,0.5,0.6666666666666666,1.0
8873678812862820688,This is a richly illuminated manuscript page depicting Chris,7,0,0.396412483586046,0.29277002188455997,0.5,0.6666666666666666,1.0
8892152134319687073,Castello della Manta: Fountain of Youth\n\nAuthorship & Date,50,0,0.6497730707668277,0.4714668511523766,0.2,0.42857142857142855,0.42857142857142855
8943971519715510064,A classical painting depicting a group of people gathered ar,35,0,0.5400407011136329,0.41385666535493143,0.2,0.25,0.5384615384615384
8944003966081662135,An illuminated manuscript page featuring a central miniature,24,0,-0.02131361663132255,-0.014545550714702806,0.5,0.25,0.3333333333333333
9109519745046408469,"Giotto di Bondone, Metropolitan Museum, New York Museum cata",23,0,0.05496499358577706,0.0582304275181873,0.5,0.25,0.25
9606230660766481773,An illuminated manuscript miniature depicting the Crucifixio,32,0,0.7065188236644406,0.5126712186811001,0.2,0.25,0.6666666666666666
9816610358951523578,A 16th-century woodcut historiated initial letter 'H'. Insid,32,0,0.36348645880845853,0.2810736371242605,0.2,0.25,0.42857142857142855
10465904426630461183,This painting is part of a group of works dating from 1918 a,27,0,0.7454162049309869,0.5410346373061437,0.5,0.25,0.5384615384615384
10484561631522129210,"Madonna and Child by Giovanni Bellini, ""IOANNES BELLINVS,""\n",20,0,0.7216585301853271,0.5213060955662004,0.0,0.1111111111111111,0.8181818181818182
10573988291385557368,"A black and white engraving from a 17th-century Dutch book, ",37,0,0.5026427921937587,0.3714199342824739,0.5,0.42857142857142855,0.42857142857142855
10663288519026325054,"Presentation in the temple\nMary kneeling in prayer, Joseph ",5,0,0.6,0.39999999999999997,0.5,1.0,1.0
